iter	MultiClass
0	1.074240186
1	1.054223185
2	1.032969038
3	1.015298215
4	0.9931132309
5	0.9747230009
6	0.9603173451
7	0.9430285591
8	0.9251565771
9	0.9108240397
10	0.8979771332
11	0.8821293459
12	0.8704522847
13	0.8545084753
14	0.8396628126
15	0.8256799997
16	0.8118503325
17	0.8000943161
18	0.7866963934
19	0.7728360697
20	0.7615724235
21	0.7502934355
22	0.7386163243
23	0.727505802
24	0.7148859577
25	0.7035505934
26	0.6924901793
27	0.6812855845
28	0.6722626789
29	0.6617700655
30	0.6529775168
31	0.6429017143
32	0.633961759
33	0.6250916719
34	0.6170957126
35	0.6084135918
36	0.6000162476
37	0.591654882
38	0.5841433344
39	0.5768158786
40	0.5686079553
41	0.5613509921
42	0.5546066639
43	0.5488574181
44	0.5424873648
45	0.5371016137
46	0.5307679738
47	0.5238485815
48	0.517218971
49	0.5109021245
50	0.5048595536
51	0.498194376
52	0.4938812388
53	0.4877170422
54	0.4821631359
55	0.4764965031
56	0.4708258522
57	0.4661789338
58	0.4613648134
59	0.4562994962
60	0.4515200472
61	0.4472016114
62	0.442402347
63	0.4372604421
64	0.4322061817
65	0.4271142356
66	0.4230414799
67	0.4190425029
68	0.4143605115
69	0.4100679507
70	0.4061779498
71	0.4024870377
72	0.3988661044
73	0.3940933688
74	0.3902950867
75	0.3857618505
76	0.3820358616
77	0.3784592652
78	0.3746860237
79	0.3709064876
80	0.3665841416
81	0.3635276753
82	0.3607212015
83	0.3580456528
84	0.3543674852
85	0.3511859012
86	0.3473975154
87	0.3434429238
88	0.3402770573
89	0.3369669227
90	0.3339893733
91	0.3306092752
92	0.327127382
93	0.324120626
94	0.3215126286
95	0.3188288103
96	0.3162904724
97	0.3133905027
98	0.3104063751
99	0.3074199283
100	0.3047550847
101	0.3026795692
102	0.2999288818
103	0.2978244288
104	0.2954383955
105	0.2929869079
106	0.2908353447
107	0.2890008217
108	0.2869777063
109	0.2849033338
110	0.2826558317
111	0.2806511787
112	0.2788356845
113	0.2768731274
114	0.2747115192
115	0.2727963666
116	0.270673477
117	0.2686158607
118	0.2666816805
119	0.2645936701
120	0.2624369361
121	0.2602493543
122	0.2582103055
123	0.2563198657
124	0.2544954245
125	0.2528961784
126	0.2511815021
127	0.2490712485
128	0.2474403976
129	0.2457980511
130	0.2444352875
131	0.2423740457
132	0.2409792521
133	0.2392381644
134	0.2377798614
135	0.2360149853
136	0.234386359
137	0.2327913385
138	0.2314204653
139	0.2300767887
140	0.2286371608
141	0.2269541371
142	0.2257935804
143	0.2245481652
144	0.2228485801
145	0.2210571064
146	0.2199397734
147	0.2185788523
148	0.2167438474
149	0.2154417505
150	0.2141338592
151	0.2130686352
152	0.2118086063
153	0.2104303722
154	0.2090110891
155	0.2077071334
156	0.2066728331
157	0.2055986838
158	0.204402211
159	0.2033515134
160	0.2021079632
161	0.201201718
162	0.2001316848
163	0.1990788111
164	0.198237835
165	0.1969296389
166	0.1960237104
167	0.1951318255
168	0.1941313576
169	0.1930849791
