iter	Passed	Remaining
0	2	119080
1	2	71587
2	3	56438
3	3	48512
4	4	42662
5	4	39693
6	5	38022
7	5	36331
8	6	35279
9	6	34302
10	7	33299
11	7	32624
12	8	32128
13	8	31754
14	9	31371
15	9	30954
16	10	30619
17	10	30508
18	11	30231
19	11	29977
20	12	30032
21	13	30041
22	13	29748
23	14	29466
24	14	29005
25	15	28907
26	15	28558
27	16	28657
28	16	28520
29	17	28399
30	17	28324
31	18	28322
32	18	28294
33	19	28169
34	19	28162
35	20	28055
36	20	28062
37	21	28200
38	22	28358
39	22	28274
40	23	28323
41	23	28263
42	24	28202
43	24	28110
44	25	28072
45	25	27954
46	26	27883
47	26	27903
48	27	27847
49	27	27797
50	28	27730
51	28	27745
52	29	27709
53	29	27645
54	30	27583
55	30	27547
56	31	27587
57	31	27537
58	32	27503
59	33	27505
60	33	27507
61	34	27550
62	34	27510
63	35	27496
64	35	27446
65	36	27399
66	36	27368
67	37	27420
68	37	27466
69	38	27420
70	38	27403
71	39	27409
72	40	27391
73	40	27327
74	40	27279
75	41	27205
76	41	27159
77	42	27157
78	42	27171
79	43	27138
80	43	27002
81	44	27123
82	45	27143
83	45	27102
84	45	27004
85	46	26952
86	46	26850
87	47	26895
88	47	26813
89	48	26756
90	48	26753
91	49	26733
92	49	26683
93	50	26677
94	50	26647
95	51	26708
96	51	26704
97	52	26623
98	52	26601
99	53	26583
100	53	26546
101	54	26528
102	54	26522
103	55	26500
104	55	26507
105	56	26483
106	56	26479
107	57	26458
108	57	26475
109	58	26474
110	58	26466
111	59	26455
112	59	26434
113	60	26421
114	60	26406
115	61	26410
116	62	26486
117	62	26495
118	63	26456
119	63	26423
120	64	26405
121	64	26397
122	65	26395
123	65	26413
124	66	26415
125	66	26384
126	67	26385
127	67	26403
128	68	26393
129	68	26391
130	69	26388
131	69	26378
132	70	26355
133	70	26331
134	71	26321
135	71	26320
136	72	26313
137	72	26336
138	73	26334
139	73	26339
140	74	26319
141	74	26320
142	75	26342
143	76	26374
144	76	26375
145	77	26371
146	77	26366
147	78	26354
148	78	26301
149	79	26351
150	79	26362
151	80	26360
152	80	26334
153	81	26325
154	81	26310
155	82	26293
156	82	26309
157	83	26319
158	83	26308
159	84	26311
160	84	26309
161	85	26296
162	85	26275
163	86	26274
164	86	26259
165	87	26248
166	87	26239
167	88	26253
168	88	26237
169	89	26243
170	90	26278
171	90	26295
172	91	26291
173	91	26292
174	92	26295
175	93	26329
176	93	26321
177	94	26318
178	94	26296
179	95	26302
180	95	26293
181	96	26303
182	96	26310
183	97	26304
184	97	26306
185	98	26337
186	98	26351
187	99	26348
188	99	26344
189	100	26345
190	100	26329
191	101	26322
192	101	26311
193	102	26298
194	102	26301
195	103	26289
196	104	26297
197	104	26293
198	105	26325
199	105	26326
200	106	26319
201	106	26325
202	107	26349
203	107	26339
204	108	26334
205	108	26327
206	109	26316
207	109	26310
208	110	26326
209	111	26329
210	111	26313
211	111	26301
212	112	26301
213	113	26297
214	113	26298
215	114	26294
216	114	26313
217	115	26269
218	115	26272
219	116	26284
220	116	26278
221	117	26285
222	117	26304
223	118	26311
224	118	26321
225	119	26309
226	119	26296
227	120	26305
228	120	26289
229	121	26316
230	122	26339
231	122	26327
232	123	26323
233	123	26323
234	124	26321
235	124	26349
236	125	26378
237	126	26377
238	126	26381
239	127	26394
240	127	26398
241	128	26428
242	129	26431
243	129	26432
244	130	26422
245	130	26407
246	131	26399
247	131	26402
248	132	26417
249	132	26417
250	133	26407
251	133	26421
252	134	26421
253	134	26439
254	135	26475
255	136	26476
256	136	26506
257	137	26518
258	138	26527
259	138	26523
260	139	26530
261	139	26525
262	140	26515
263	140	26503
264	141	26510
265	141	26509
266	142	26527
267	142	26528
268	143	26500
269	143	26485
270	144	26496
271	144	26492
272	145	26486
273	146	26507
274	146	26511
275	147	26519
276	147	26516
277	148	26509
278	148	26497
279	149	26524
280	149	26514
281	150	26515
282	150	26525
283	151	26522
284	151	26513
285	152	26516
286	153	26531
287	153	26537
288	154	26542
289	154	26539
290	155	26542
291	156	26556
292	156	26569
293	157	26576
294	157	26586
295	158	26576
296	158	26574
297	159	26569
298	159	26575
299	160	26574
300	160	26574
301	161	26571
302	161	26565
303	162	26563
304	163	26582
305	163	26594
306	164	26599
307	164	26593
308	165	26663
309	166	26657
310	166	26651
311	167	26654
312	168	26675
313	168	26679
314	169	26675
315	169	26670
316	170	26666
317	170	26676
318	171	26683
319	171	26693
320	172	26684
321	172	26677
322	173	26668
323	174	26685
324	174	26701
325	175	26706
326	175	26702
327	176	26715
328	177	26724
329	177	26739
330	178	26776
331	179	26789
332	179	26796
333	180	26792
334	180	26792
335	181	26819
336	182	26830
337	182	26828
338	183	26824
339	183	26835
340	184	26865
341	185	26870
342	185	26876
343	186	26883
344	186	26890
345	187	26881
346	187	26883
347	188	26891
348	189	26892
349	189	26889
350	190	26888
351	190	26886
352	191	26898
353	191	26893
354	192	26897
355	192	26895
356	193	26901
357	194	26904
358	194	26917
359	195	26914
360	195	26913
361	196	26907
362	196	26902
363	197	26907
364	197	26911
365	198	26939
366	199	26948
367	199	26967
368	200	26975
369	201	26979
370	201	26970
371	202	26973
372	202	26986
373	203	27001
374	204	27000
375	204	26995
376	205	26992
377	205	26992
378	206	26993
379	206	26993
380	207	26987
381	207	26989
382	208	26990
383	209	27007
384	209	27012
385	210	27009
386	210	27001
387	211	27017
388	211	27017
389	212	27029
390	213	27031
391	213	27043
392	214	27040
393	214	27034
394	215	27031
395	215	27030
396	216	27040
397	217	27047
398	217	27050
399	218	27053
400	218	27061
401	219	27071
402	220	27080
403	220	27081
404	221	27083
405	221	27086
406	222	27094
407	222	27095
408	223	27104
409	224	27102
410	224	27112
411	225	27121
412	225	27118
413	226	27123
414	227	27136
415	227	27145
416	228	27159
417	229	27164
418	229	27162
419	230	27175
420	230	27181
421	231	27185
422	231	27177
423	232	27190
424	233	27199
425	233	27215
426	234	27224
427	235	27231
428	235	27234
429	236	27241
430	236	27242
431	237	27239
432	237	27238
433	238	27233
434	239	27238
435	239	27234
436	240	27235
437	240	27250
438	241	27244
439	241	27247
440	242	27248
441	243	27248
442	243	27247
443	244	27258
444	244	27260
445	245	27266
446	245	27269
447	246	27273
448	247	27279
449	247	27282
450	248	27292
451	249	27296
452	249	27295
453	250	27294
454	250	27297
455	251	27309
456	252	27320
457	252	27316
458	253	27318
459	253	27329
460	254	27325
461	254	27335
462	255	27351
463	256	27357
464	256	27360
465	257	27358
466	257	27362
467	258	27371
468	259	27369
469	259	27372
470	260	27371
471	260	27376
472	261	27385
473	262	27413
474	263	27422
475	263	27454
476	264	27476
477	265	27500
478	266	27518
479	266	27523
480	267	27528
481	267	27531
482	268	27532
483	269	27536
484	269	27550
485	270	27558
486	271	27565
487	271	27571
488	272	27582
489	273	27590
490	273	27602
491	274	27608
492	274	27614
493	275	27612
494	276	27617
495	276	27617
496	277	27621
497	277	27630
498	278	27637
499	279	27648
500	279	27652
501	280	27655
502	281	27671
503	281	27688
504	282	27698
505	283	27722
506	284	27739
507	284	27743
508	285	27744
509	285	27741
510	286	27752
511	287	27765
512	287	27782
513	288	27786
514	289	27792
515	289	27797
516	290	27814
517	291	27822
518	291	27825
519	292	27823
520	293	27844
521	294	27888
522	294	27896
523	295	27903
524	296	27915
525	296	27929
526	297	27951
527	298	27979
528	299	28001
529	300	28039
530	301	28098
531	302	28152
532	303	28182
533	304	28214
534	305	28264
535	307	28335
536	307	28365
537	308	28388
538	309	28411
539	310	28419
540	311	28434
541	312	28474
542	312	28491
543	313	28496
544	314	28506
545	314	28506
546	315	28518
547	316	28527
548	316	28541
549	317	28554
550	318	28578
551	319	28592
552	319	28606
553	320	28624
554	321	28643
555	322	28658
556	322	28661
557	323	28665
558	324	28666
559	324	28666
560	325	28671
561	325	28677
562	326	28683
563	327	28704
564	328	28716
565	328	28728
566	329	28752
567	330	28764
568	331	28773
569	331	28786
570	332	28790
571	333	28815
572	334	28819
573	334	28828
574	335	28835
575	336	28840
576	336	28862
577	337	28877
578	338	28878
579	338	28878
580	339	28884
581	340	28902
582	341	28915
583	341	28922
584	342	28924
585	343	28928
586	343	28942
587	344	28950
588	345	28953
589	345	28954
590	346	28956
591	347	28964
592	347	28970
593	348	28980
594	349	28989
595	349	28993
596	350	28998
597	351	29022
598	352	29033
599	352	29045
600	353	29056
601	354	29080
602	355	29091
603	355	29102
604	356	29108
605	357	29116
606	358	29141
607	359	29191
608	360	29208
609	361	29275
610	362	29295
611	363	29307
612	363	29315
613	364	29330
614	365	29352
615	366	29364
616	367	29373
617	367	29384
618	368	29392
619	369	29405
620	370	29446
621	371	29456
622	371	29470
623	372	29484
624	373	29505
625	374	29513
626	374	29527
627	376	29564
628	376	29584
629	377	29597
630	378	29610
631	379	29617
632	379	29635
633	381	29669
634	381	29683
635	382	29700
636	383	29718
637	384	29739
638	385	29741
639	385	29753
640	386	29770
641	387	29782
642	388	29798
643	388	29800
644	389	29821
645	390	29834
646	391	29839
647	391	29853
648	392	29866
649	393	29887
650	394	29910
651	395	29927
652	396	29982
653	397	29993
654	398	30005
655	399	30020
656	399	30027
657	400	30059
658	401	30069
659	402	30074
660	403	30091
661	404	30112
662	404	30116
663	405	30132
664	406	30151
665	407	30156
666	408	30205
667	409	30230
668	410	30251
669	411	30291
670	414	30459
671	415	30497
672	416	30528
673	417	30551
674	418	30574
675	419	30586
676	420	30609
677	420	30617
678	421	30628
679	422	30672
680	424	30707
681	424	30725
682	426	30781
683	426	30786
684	427	30791
685	428	30799
686	429	30817
687	430	30824
688	430	30843
689	432	30927
690	433	30937
691	434	30954
692	435	30970
693	436	30981
694	436	31001
695	437	31023
696	438	31048
697	439	31061
698	440	31090
699	441	31100
700	442	31123
701	443	31149
702	444	31174
703	445	31191
704	446	31206
705	447	31223
706	448	31255
707	449	31272
708	450	31289
709	451	31321
710	451	31333
711	452	31353
712	453	31371
713	454	31388
714	455	31396
715	456	31423
716	457	31432
717	458	31447
718	458	31459
719	459	31481
720	460	31482
721	461	31499
722	462	31517
723	463	31531
724	464	31537
725	464	31542
726	465	31565
727	466	31566
728	467	31573
729	467	31584
730	468	31596
731	469	31605
732	470	31623
733	471	31637
734	472	31637
735	472	31652
736	473	31657
737	474	31654
738	474	31650
739	475	31652
740	476	31657
741	476	31657
742	477	31648
743	478	31653
744	478	31656
745	479	31665
746	480	31666
747	480	31661
748	481	31657
749	482	31654
750	482	31651
751	483	31647
752	483	31642
753	484	31641
754	485	31640
755	485	31634
756	486	31631
757	486	31630
758	487	31630
759	488	31630
760	488	31626
761	489	31624
762	490	31633
763	490	31631
764	491	31624
765	491	31616
766	492	31608
767	492	31600
768	493	31594
769	494	31588
770	494	31580
771	495	31572
772	495	31561
773	496	31554
774	496	31552
775	497	31546
776	497	31536
777	498	31535
778	499	31530
779	499	31537
780	500	31549
781	501	31548
782	501	31542
783	502	31539
784	502	31534
785	503	31525
786	504	31533
787	504	31532
788	505	31525
789	506	31524
790	506	31523
791	507	31526
792	508	31522
793	508	31521
794	509	31521
795	510	31531
796	510	31533
797	511	31537
798	512	31537
799	512	31533
800	513	31529
801	513	31523
802	514	31524
803	515	31522
804	515	31528
805	516	31522
806	517	31520
807	517	31515
808	518	31509
809	518	31507
810	519	31506
811	520	31499
812	520	31492
813	521	31492
814	521	31493
815	522	31491
816	523	31486
817	523	31479
818	524	31470
819	524	31480
820	525	31478
821	526	31476
822	526	31472
823	527	31468
824	527	31468
825	528	31480
826	529	31479
827	529	31472
828	530	31476
829	531	31471
830	531	31476
831	532	31473
832	533	31470
833	533	31464
834	534	31461
835	534	31456
836	535	31454
837	536	31455
838	536	31451
839	537	31445
840	537	31442
841	538	31433
842	539	31439
843	539	31433
844	540	31427
845	540	31429
846	541	31421
847	542	31422
848	542	31426
849	543	31426
850	544	31423
851	544	31415
852	545	31408
853	545	31407
854	546	31413
855	547	31412
856	547	31406
857	548	31400
858	548	31391
859	549	31398
860	550	31397
861	550	31392
862	551	31387
863	551	31389
864	552	31385
865	553	31390
866	553	31393
867	554	31387
868	555	31384
869	555	31378
870	556	31369
871	556	31374
872	557	31385
873	558	31378
874	558	31380
875	559	31380
876	560	31376
877	560	31372
878	561	31367
879	561	31367
880	562	31370
881	563	31365
882	563	31369
883	564	31369
884	565	31366
885	566	31387
886	566	31384
887	567	31382
888	568	31381
889	568	31377
890	569	31382
891	570	31383
892	570	31382
893	571	31385
894	571	31381
895	572	31378
896	573	31378
897	573	31376
