iter	Passed	Remaining
0	5	5188
1	10	5305
2	16	5420
3	22	5486
4	27	5515
5	33	5528
6	39	5542
7	44	5556
8	50	5594
9	57	5673
10	63	5700
11	69	5697
12	75	5726
13	81	5765
14	89	5905
15	96	5930
16	102	5937
17	108	5937
18	115	5940
19	121	5946
20	127	5953
21	134	5961
22	140	5957
23	147	5983
24	153	5983
25	159	5989
26	166	6012
27	173	6023
28	180	6028
29	187	6053
30	194	6084
31	201	6100
32	208	6105
33	214	6103
34	221	6105
35	227	6100
36	234	6097
37	240	6086
38	246	6086
39	253	6084
40	260	6082
41	266	6076
42	272	6066
43	278	6057
44	285	6050
45	291	6045
46	297	6041
47	304	6038
48	311	6040
49	318	6043
50	324	6039
51	331	6039
52	338	6050
53	345	6052
54	352	6054
55	359	6053
56	365	6045
57	372	6041
58	378	6037
59	384	6028
60	391	6020
61	397	6015
62	404	6008
63	410	6001
64	416	5990
65	422	5982
66	429	5974
67	435	5966
68	441	5960
69	448	5952
70	454	5948
71	460	5940
72	467	5936
73	473	5927
74	479	5918
75	486	5910
76	492	5901
77	498	5890
78	504	5882
79	510	5872
80	516	5865
81	523	5855
82	529	5848
83	535	5843
84	548	5899
85	554	5889
86	560	5878
87	566	5871
88	572	5862
89	579	5856
90	585	5849
91	591	5842
92	598	5835
93	604	5830
94	611	5826
95	618	5821
96	624	5813
97	630	5805
98	637	5797
99	643	5790
100	649	5781
101	655	5773
102	661	5764
103	668	5755
104	674	5746
105	680	5737
106	686	5729
107	692	5722
108	698	5713
109	705	5708
110	712	5706
111	718	5700
112	725	5693
113	731	5685
114	738	5679
115	744	5672
116	750	5665
117	757	5658
118	763	5650
119	769	5642
120	775	5634
121	781	5626
122	788	5619
123	794	5611
124	800	5603
125	806	5595
126	812	5588
127	819	5579
128	824	5570
129	831	5565
130	837	5558
131	844	5551
132	850	5544
133	856	5536
134	862	5528
135	869	5520
136	875	5514
137	881	5505
138	887	5499
139	894	5493
140	900	5487
141	907	5481
142	913	5475
143	920	5470
144	926	5464
145	933	5457
146	939	5450
147	945	5444
148	951	5436
149	958	5428
150	964	5424
151	971	5418
152	977	5411
153	983	5404
154	989	5396
155	996	5389
156	1002	5381
157	1008	5374
158	1014	5366
159	1020	5359
160	1027	5353
161	1033	5345
162	1039	5337
163	1045	5329
164	1051	5322
165	1058	5316
166	1064	5308
167	1070	5300
168	1076	5292
169	1082	5285
170	1088	5278
171	1094	5270
172	1101	5263
173	1107	5255
174	1113	5249
175	1119	5242
176	1126	5235
177	1133	5233
178	1139	5226
179	1145	5219
180	1151	5211
181	1158	5205
182	1164	5197
183	1170	5190
184	1177	5185
185	1183	5179
186	1190	5173
187	1196	5167
188	1203	5162
189	1209	5157
190	1216	5152
191	1222	5146
192	1229	5140
193	1236	5136
194	1242	5131
195	1249	5124
196	1256	5119
197	1262	5115
198	1269	5110
199	1276	5106
200	1283	5102
201	1290	5096
202	1297	5092
203	1304	5089
204	1311	5085
205	1318	5081
206	1325	5077
207	1332	5072
208	1339	5068
209	1346	5063
210	1352	5058
211	1359	5054
212	1366	5050
213	1373	5045
214	1380	5041
215	1387	5035
216	1394	5030
217	1401	5026
218	1407	5019
219	1414	5013
220	1420	5007
221	1427	5001
222	1433	4996
223	1440	4991
224	1447	4985
225	1453	4979
226	1460	4973
227	1467	4968
228	1474	4962
229	1480	4956
230	1486	4949
231	1493	4942
232	1499	4935
233	1505	4929
234	1512	4922
235	1518	4914
236	1524	4909
237	1531	4902
238	1537	4895
239	1543	4889
240	1550	4883
241	1557	4878
242	1564	4873
243	1571	4867
244	1577	4861
245	1583	4854
246	1590	4847
247	1596	4841
248	1602	4834
249	1609	4828
250	1615	4821
251	1622	4815
252	1628	4809
253	1635	4802
254	1641	4796
255	1647	4788
256	1653	4781
257	1660	4775
258	1666	4769
259	1673	4764
260	1680	4757
261	1686	4751
